ano,bioma,lat,long,mes,focos
2012,Pará,-5.53,-52.29,JUNHO,305
2012,Pará,-5.53,-52.29,JULHO,1041
2012,Pará,-5.53,-52.29,AGOSTO,9168
2012,Pará,-5.53,-52.29,SETEMBRO,8190
2012,Pará,-5.53,-52.29,OUTUBRO,5946
2012,Pará,-5.53,-52.29,NOVEMBRO,8871
2012,Pará,-5.53,-52.29,DEZEMBRO,2950
2013,Pará,-5.53,-52.29,JANEIRO,291
2013,Pará,-5.53,-52.29,FEVEREIRO,47
2013,Pará,-5.53,-52.29,MARÇO,20
2013,Pará,-5.53,-52.29,ABRIL,29
2013,Pará,-5.53,-52.29,MAIO,74
2013,Pará,-5.53,-52.29,JUNHO,323
2013,Pará,-5.53,-52.29,JULHO,793
2013,Pará,-5.53,-52.29,AGOSTO,3173
2013,Pará,-5.53,-52.29,SETEMBRO,4363
2013,Pará,-5.53,-52.29,OUTUBRO,5510
2013,Pará,-5.53,-52.29,NOVEMBRO,3844
2013,Pará,-5.53,-52.29,DEZEMBRO,5579
2014,Pará,-5.53,-52.29,JANEIRO,570
2014,Pará,-5.53,-52.29,FEVEREIRO,30
2014,Pará,-5.53,-52.29,MARÇO,17
2014,Pará,-5.53,-52.29,ABRIL,23
2014,Pará,-5.53,-52.29,MAIO,55
2014,Pará,-5.53,-52.29,JUNHO,284
2014,Pará,-5.53,-52.29,JULHO,813
2014,Pará,-5.53,-52.29,AGOSTO,8147
2014,Pará,-5.53,-52.29,SETEMBRO,6636
2014,Pará,-5.53,-52.29,OUTUBRO,6241
2014,Pará,-5.53,-52.29,NOVEMBRO,7908
2014,Pará,-5.53,-52.29,DEZEMBRO,4802
2015,Pará,-5.53,-52.29,JANEIRO,866
2015,Pará,-5.53,-52.29,FEVEREIRO,92
2015,Pará,-5.53,-52.29,MARÇO,31
2015,Pará,-5.53,-52.29,ABRIL,22
2015,Pará,-5.53,-52.29,MAIO,84
2015,Pará,-5.53,-52.29,JUNHO,241
2015,Pará,-5.53,-52.29,JULHO,882
2015,Pará,-5.53,-52.29,AGOSTO,7672
2015,Pará,-5.53,-52.29,SETEMBRO,9394
2015,Pará,-5.53,-52.29,OUTUBRO,7379
2015,Pará,-5.53,-52.29,NOVEMBRO,9783
2015,Pará,-5.53,-52.29,DEZEMBRO,6718
2016,Pará,-5.53,-52.29,JANEIRO,1479
2016,Pará,-5.53,-52.29,FEVEREIRO,370
2016,Pará,-5.53,-52.29,MARÇO,53
2016,Pará,-5.53,-52.29,ABRIL,51
2016,Pará,-5.53,-52.29,MAIO,148
2016,Pará,-5.53,-52.29,JUNHO,509
2016,Pará,-5.53,-52.29,JULHO,1732
2016,Pará,-5.53,-52.29,AGOSTO,5185
2016,Pará,-5.53,-52.29,SETEMBRO,3878
2016,Pará,-5.53,-52.29,OUTUBRO,5954
2016,Pará,-5.53,-52.29,NOVEMBRO,7314
2016,Pará,-5.53,-52.29,DEZEMBRO,3051
2017,Pará,-5.53,-52.29,JANEIRO,213
2017,Pará,-5.53,-52.29,FEVEREIRO,14
2017,Pará,-5.53,-52.29,MARÇO,18
2017,Pará,-5.53,-52.29,ABRIL,42
2017,Pará,-5.53,-52.29,MAIO,121
2017,Pará,-5.53,-52.29,JUNHO,486
2017,Pará,-5.53,-52.29,JULHO,3696
2017,Pará,-5.53,-52.29,AGOSTO,8781
2017,Pará,-5.53,-52.29,SETEMBRO,15735
2017,Pará,-5.53,-52.29,OUTUBRO,6146
2017,Pará,-5.53,-52.29,NOVEMBRO,9639
2017,Pará,-5.53,-52.29,DEZEMBRO,4879
2018,Pará,-5.53,-52.29,JANEIRO,536
2018,Pará,-5.53,-52.29,FEVEREIRO,36
2018,Pará,-5.53,-52.29,MARÇO,51
2018,Pará,-5.53,-52.29,ABRIL,13
2018,Pará,-5.53,-52.29,MAIO,78
2018,Pará,-5.53,-52.29,JUNHO,454
2018,Pará,-5.53,-52.29,JULHO,929
2018,Pará,-5.53,-52.29,AGOSTO,2782
2018,Pará,-5.53,-52.29,SETEMBRO,4892
2018,Pará,-5.53,-52.29,OUTUBRO,5028
2018,Pará,-5.53,-52.29,NOVEMBRO,6276
2018,Pará,-5.53,-52.29,DEZEMBRO,1005
